volcano name,last eruption year,country,latitude,longitude,elevation
Medicine Lake,1060,United States,41.611,-121.554,2412
Mega Basalt Field,Unknown,Ethiopia-Kenya,4.063,37.488,1111
Megata,-2050,Japan,39.95,139.73,291
Meidob Volcanic Field,-2950,Sudan,15.32,26.47,2000
Melbourne,1892,Antarctica,-74.35,164.7,2732
Merapi,2020,Indonesia,-7.54,110.446,2910
Merbabu,1797,Indonesia,-7.454,110.44,3118
Meru,1910,Tanzania,-3.25,36.75,4565
Methana,-258,Greece,37.615,23.336,760
Michinmahuida,1835,Chile,-42.799,-72.445,2452
Michoacan-Guanajuato,1952,Mexico,19.85,-101.75,3860
Midagahara,1839,Japan,36.571,137.59,2621
Mikurajima,-4100,Japan,33.874,139.602,851
Milbanke Sound Group,Unknown,Canada,52.5,-128.73,335
Milna,1914,Russia,46.815,151.786,1504
Milos,140,Greece,36.699,24.439,751
Minami-Hiyoshi,1975,Japan,23.5,141.935,-107
Miravalles,1946,Costa Rica,10.748,-85.153,2028
Miyakejima,2010,Japan,34.094,139.526,775
Mocho-Choshuenco,1937,Chile,-39.927,-72.027,2422
Moffett,-1600,United States,51.944,-176.747,1196
Mojanda,Unknown,Ecuador,0.13,-78.27,4263
Mombacho,Unknown,Nicaragua,11.826,-85.968,1344
Momotombo,2016,Nicaragua,12.423,-86.539,1270
Mono Lake Volcanic Field,1790,United States,38,-119.03,2121
Mono-Inyo Craters,1380,United States,37.804,-119.029,2796
Montagu Island,2007,United Kingdom,-58.445,-26.374,1370
Morning,Unknown,Antarctica,-78.5,163.53,2723
Motlav,Unknown,Vanuatu,-13.67,167.67,411
Moyorodake [Medvezhia],1999,Japan - administered by Russia,45.389,148.838,1124
Moyuta,Unknown,Guatemala,14.03,-90.1,1662
Muhavura,Unknown,Uganda-Rwanda,-1.383,29.678,4103
Mundua,Unknown,Papua New Guinea,-4.624,149.339,171
Muria,-160,Indonesia,-6.62,110.88,1625
Mutnovsky,2000,Russia,52.449,158.196,2288
Myojinsho,1970,Japan,31.888,139.918,11
Myokosan,-750,Japan,36.891,138.114,2454
Nabukelevu,1660,Fiji,-19.12,177.98,805
Nakanoshima,1914,Japan,29.859,129.857,979
Namarunu,-6550,Kenya,1.98,36.43,817
Nantaisan,-9540,Japan,36.765,139.491,2486
Naolinco Volcanic Field,-1200,Mexico,19.67,-96.75,2000
Naruko,837,Japan,38.729,140.734,470
Nasudake,1963,Japan,37.125,139.963,1915
Natib,Unknown,Philippines,14.72,120.4,1253
"Negra, Sierra",2018,Ecuador,-0.83,-91.17,1124
"Negro, Cerro",1999,Nicaragua,12.506,-86.702,728
Nejapa-Miraflores,1060,Nicaragua,12.12,-86.32,360
Nemrut Dagi,1650,Turkey,38.654,42.229,2948
Nevis Peak,Unknown,Saint Kitts and Nevis,17.15,-62.58,985
